,labels,samples_per_cluster,silhouette_score
cluster_2,"[1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","{1: 173, 0: 17}",0.7395297507551528
cluster_3,"[0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 173, 1: 15, 2: 2}",0.7089543471301774
cluster_4,"[0 3 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 157, 3: 16, 1: 15, 2: 2}",0.6244047368479189
cluster_5,"[0 3 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0
 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0
 0 0 0 4 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 154, 3: 16, 1: 15, 4: 3, 2: 2}",0.6384611938298376
cluster_6,"[3 1 0 0 0 5 0 0 0 5 5 3 0 0 5 0 0 3 3 3 3 3 5 3 3 3 5 3 3 3 3 3 5 5 3 5 3
 3 3 3 3 3 5 5 5 5 3 3 3 5 5 3 0 5 0 0 0 3 3 3 3 3 2 5 0 3 5 5 3 3 3 3 2 3
 5 3 4 3 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 3 3 3 1 1 3 3 3 3
 3 3 3 4 3 3 3 3 3 3 3 1 1 1 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3
 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3]","{3: 129, 5: 25, 1: 16, 0: 15, 4: 3, 2: 2}",0.6120112747342631
cluster_7,"[1 0 6 6 6 5 6 3 3 5 5 1 3 3 5 3 3 1 1 1 1 1 5 1 1 1 5 1 1 1 1 1 5 5 1 5 1
 1 1 1 1 1 5 5 5 5 1 1 1 5 5 1 6 5 6 6 6 1 1 1 1 1 2 5 3 1 5 5 1 1 1 1 2 1
 5 1 4 1 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1
 1 1 1 4 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","{1: 129, 5: 25, 0: 16, 6: 8, 3: 7, 4: 3, 2: 2}",0.6262044327762938
cluster_8,"[1 0 6 6 6 5 6 3 3 5 5 1 3 3 5 3 3 1 1 1 1 1 5 1 1 1 5 1 1 1 1 1 5 5 1 5 1
 1 1 1 1 1 5 5 5 5 1 1 1 5 5 1 6 5 6 6 6 1 1 1 1 1 2 5 3 1 5 5 1 1 1 1 2 1
 5 1 4 1 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 7 7 1 1 1 7 7 1 1 1 1
 1 1 1 4 1 1 1 1 1 1 1 7 7 7 1 1 1 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","{1: 129, 5: 25, 7: 13, 6: 8, 3: 7, 0: 3, 4: 3, 2: 2}",0.6226690398064133
cluster_9,"[0 8 6 6 6 5 6 1 1 5 5 0 1 1 5 1 1 0 0 0 0 0 5 0 0 0 5 0 0 0 0 0 5 5 0 5 0
 0 0 0 0 0 5 5 5 5 0 0 0 5 5 0 6 5 6 6 6 0 0 0 0 0 2 5 1 0 5 5 0 0 0 0 2 0
 5 0 4 0 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 3 0 0 0 3 3 0 0 0 0
 0 0 0 4 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 129, 5: 25, 3: 13, 6: 8, 1: 7, 4: 3, 2: 2, 7: 2, 8: 1}",0.6195202067864618
cluster_10,"[5 8 6 6 6 2 6 1 1 2 2 5 1 1 2 1 1 9 5 9 5 9 2 5 5 5 2 5 5 5 5 5 2 2 5 2 5
 5 5 5 5 5 2 2 2 2 5 5 5 2 2 5 6 2 6 6 6 5 5 5 5 5 0 2 1 5 2 2 5 5 9 9 0 5
 2 5 4 5 2 2 2 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 7 3 3 5 5 9 3 3 5 5 5 5
 5 5 5 4 5 5 5 5 5 9 5 3 3 3 5 5 5 3 3 5 5 5 5 9 5 5 5 5 5 5 5 5 4 5 5 5 5
 9 7 5 5 9 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5]","{5: 119, 2: 25, 3: 13, 9: 10, 6: 8, 1: 7, 4: 3, 0: 2, 7: 2, 8: 1}",0.6461895237222129
cluster_11,"[ 2  8  6  6  6  0  6  1  1  0  0  2  1  1  0  1  1  9  2  9  2  9  0  2
  2  2  0  2  2  2  2  2  0  0  2  0  2  2  2  2  2  2  0  0  0  0  2  2
  2  0  0  2  6  0  6  6  6  2  2  2  2  2 10  0  1  2  0  0  2  2  9  9
  5  2  0  2  4  2  0  0  0  0  0  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  7  3  3  2  2  9  3  3  2  2  2  2  2  2  2  4  2  2  2  2  2
  9  2  3  3  3  2  2  2  3  3  2  2  2  2  9  2  2  2  2  2  2  2  2  4
  2  2  2  2  9  7  2  2  9  2  2  2  2  2  2  2  2  2  2  2  3  3  3  3
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2]","{2: 119, 0: 25, 3: 13, 9: 10, 6: 8, 1: 7, 4: 3, 7: 2, 5: 1, 8: 1, 10: 1}",0.6410397453340878
cluster_12,"[ 2  8  6  6  6  9  6  0  0  5  5  2  0  0  5  0  0  4  2  4  2  4  9  2
  2  2  9  2  2  2  2  2  9  9  2  9  2  2  2  2  2  2  9  9  9  9  2  2
  2  9  9  2  6  9  6  6  6  2  2  2  2  2 10  5  0  2  9  9  2  2  4  4
 11  2  9  2  1  2  9  9  9  9  9  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  7  3  3  2  2  4  3  3  2  2  2  2  2  2  2  1  2  2  2  2  2
  4  2  3  3  3  2  2  2  3  3  2  2  2  2  4  2  2  2  2  2  2  2  2  1
  2  2  2  2  4  7  2  2  4  2  2  2  2  2  2  2  2  2  2  2  3  3  3  3
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2]","{2: 119, 9: 21, 3: 13, 4: 10, 6: 8, 0: 7, 5: 4, 1: 3, 7: 2, 8: 1, 10: 1, 11: 1}",0.6425125574023735
